209876,5215945,2015-10-15 13:15:00,/product/Fiction,110
209269,9439975,2015-10-19 18:30:00,/cart/Political suicide,131
380163,4304843,2015-10-20 13:30:00,/product/book_bus_songs,47
822321,8088764,2015-10-23 18:45:00,/product/Science explorer,310
943997,7956641,2015-10-12 14:25:00,/cart/driving_jarvis_ham,175
521945,3414785,2015-10-16 19:20:00,/checkout/the_world_a35,310
950220,2831583,2015-10-23 18:45:00,/product/Science anytime,75
473546,3287372,2015-10-21 14:00:00,/product/Body politic,162
410520,3404540,2015-10-30 20:00:00,/checkout/Business management,110
136038,3103630,2015-10-21 19:45:00,/cart/Mona Lisa,125
365465,6715431,2015-10-21 19:45:00,/product/Health psychology,163
464883,3289008,2015-10-25 13:00:00,/product/spotlight_books,131
470769,6095064,2015-10-12 14:25:00,/cart/Drama Queen,90
328721,3787422,2015-10-21 19:45:00,/product/Murder book,185
767834,2182742,2015-10-15 13:15:00,/product/Science magic,240
654079,7956764,2015-10-16 19:20:00,/checkout/academic_art,310
457634,1846056,2015-10-12 14:25:00,/cart/Making history,125
760170,3094980,2015-10-16 19:20:00,/cart/science_c72,110
874567,7645344,2015-10-25 13:00:00,/product/Managing yourself,240
102826,7894509,2015-10-21 14:00:00,/checkout/Business management,131
572496,4477413,2015-10-28 14:30:00,/product/Science magic,185
309980,8756476,2015-10-25 13:00:00,/cart/Making history,110
457689,6509532,2015-10-23 18:45:00,/cart/Invisible world,75
476587,598487,2015-10-31 19:30:00,/cart/Environment psychology,47
753211,9165347,2015-10-25 13:00:00,/checkout/Business management,163
868638,9876523,2015-10-23 18:45:00,/product/Health psychology,110
664576,4654143,2015-10-21 19:45:00,/checkout/Business management,131
645043,4589076,2015-10-23 18:45:00,/product/Agricultural science,47
623610,7609554,2015-10-12 14:25:00,/product/Fiction,110
760548,2218303,2015-10-21 19:45:00,/checkout/Science anytime,75
984565,4477413,2015-10-19 18:30:00,/cart/Dream science,60
440675,4540927,2015-10-15 13:15:00,/cart/Managing meetings,125
879600,6129869,2015-10-12 14:25:00,/checkout/Bill books,132
420651,4614662,2015-10-21 19:45:00,/cart/Banking world,75
557549,0585130,2015-10-25 13:00:00,/checkout/Applied psychology,160
874567,6390495,2015-10-31 19:30:00,/checkout/Science anytime,185
794471,8705662,2015-10-23 18:45:00,/checkout/Understanding music,60
794458,6509532,2015-10-20 13:30:00,/cart/Banking world,90
164215,2783804,2015-10-23 18:45:00,/checkout/Understanding music,132
866546,3276530,2015-10-21 19:45:00,/checkout/academic_art,90
811208,8735647,2015-10-30 20:00:00,/checkout/Understanding music,47
806343,7180986,2015-10-31 19:30:00,/checkout/academic_art,125
321095,5435098,2015-10-16 19:20:00,/checkout/Business management,132
278304,8315072,2015-10-23 18:45:00,/product/book_bus_songs,162
243514,9406421,2015-10-20 13:30:00,/product/Agricultural science,47
546703,6557423,2015-10-30 20:00:00,/product/Science explorer,110
960897,7856586,2015-10-30 20:00:00,/cart/Christmas books,125
683818,1872686,2015-10-28 14:30:00,/checkout/Bill books,240
398767,2831583,2015-10-31 19:30:00,/checkout/Christmas books,185
144215,7650498,2015-10-21 19:45:00,/product/Musicals,160
979201,8734562,2015-10-28 14:30:00,/cart/Assessment book,160
661493,9867437,2015-10-20 13:30:00,/product/book_bus_songs,240
386936,6004261,2015-10-23 18:45:00,/cart/science_c72,159
761631,5567657,2015-10-19 18:30:00,/cart/Making history,132
793326,4639333,2015-10-23 18:45:00,/product/Venus Drive,175
514957,4614662,2015-10-31 19:30:00,/checkout/Martial arts,240
109206,6905478,2015-10-12 14:25:00,/product/spotlight_books,160
763598,9867549,2015-10-20 13:30:00,/checkout/Business management,159
776564,6573455,2015-10-16 19:20:00,/checkout/Science anytime,162
556765,8705662,2015-10-23 18:45:00,/product/Book lover,75
164215,1234908,2015-10-21 14:00:00,/cart/driving_jarvis_ham,160
123908,6905478,2015-10-16 19:20:00,/product/paper_music,159
784308,8109865,2015-10-20 13:30:00,/checkout/Christmas books,162
153728,1483952,2015-10-21 19:45:00,/cart/science_c72,185
117220,9835645,2015-10-20 13:30:00,/cart/science_c72,90
102826,8735647,2015-10-16 19:20:00,/cart/science_c72,47
933246,9127621,2015-10-19 18:30:00,/cart/science_c72,60
393125,5405410,2015-10-16 19:20:00,/cart/the_world_a35,163
511473,1673590,2015-10-30 20:00:00,/checkout/my world,162
136038,8734562,2015-10-16 19:20:00,/checkout/academic_art,185
671674,4374098,2015-10-16 19:20:00,/product/Science magic,310
985645,7627484,2015-10-25 13:00:00,/cart/science_c72,185
671761,4293304,2015-10-12 14:25:00,/product/Fantasy art,175
409409,3289008,2015-10-28 14:30:00,/product/Agricultural science,125
760873,4576356,2015-10-15 13:15:00,/checkout/popular music,75
445653,3509647,2015-10-21 19:45:00,/cart/science_c72,163
285687,5615432,2015-10-15 13:15:00,/cart/Christmas books,110
327530,3215095,2015-10-21 14:00:00,/checkout/the_world_a35,125
615864,8714562,2015-10-15 13:15:00,/checkout/Yoruba poetry,160
440675,3425286,2015-10-25 13:00:00,/product/Science magic,60
297036,2811679,2015-10-28 14:30:00,/checkout/Science directions,160
410729,1966081,2015-10-23 18:45:00,/product/Musicals,240
654079,1201585,2015-10-25 13:00:00,/product/Musicals,47
121062,4614662,2015-10-31 19:30:00,/cart/World atlas,75
986423,6715431,2015-10-20 13:30:00,/checkout/Business management,162
